timestep,learner_elo,opponent,opponent_elo,wins,draws,losses
110000,1103.332443815199,Random,785.7802327739475,85,0,15
110000,1103.332443815199,Tactical,1203.4622169034365,36,0,64
110000,1103.332443815199,MiniMax4,1567.822370293842,0,10,90
120000,1158.1514093724043,PPO_100000,1034.71443601376,84,0,16
120000,1158.1514093724043,Random,798.6095865318409,86,0,14
120000,1158.1514093724043,Tactical,1195.3261852577762,35,0,65
120000,1158.1514093724043,MiniMax4,1576.9280904258426,0,12,88
130000,1152.6030790805073,PPO_100000,978.2304153318623,90,0,10
130000,1152.6030790805073,Random,817.9935118304857,88,0,12
130000,1152.6030790805073,Tactical,1225.452582762318,49,0,51
130000,1152.6030790805073,MiniMax2,1586.6834478685778,30,0,70
140000,1371.3130175531428,Tactical,1199.8022480645216,52,0,48
140000,1371.3130175531428,PPO_100000,909.1537093364298,92,0,8
140000,1371.3130175531428,MiniMax2,1477.4939015682173,37,0,63
140000,1371.3130175531428,MiniMax4,1589.4501185964507,0,30,70
150000,1280.8375952840934,Tactical,1262.329575244013,59,0,41
150000,1280.8375952840934,PPO_100000,913.6324504753939,90,0,10
150000,1280.8375952840934,MiniMax2,1469.696794222955,43,0,57
150000,1280.8375952840934,MiniMax4,1620.7165798923068,1,33,66
160000,1384.4581296297656,PPO_150000,1384.4581296297656,57,0,43
160000,1384.4581296297656,Tactical,1256.8984338572682,57,0,43
160000,1384.4581296297656,MiniMax2,1410.632517730359,47,0,53
160000,1384.4581296297656,MiniMax4,1591.7004420087676,1,38,61
170000,1363.5250044726909,PPO_150000,1356.4218958326271,75,0,25
170000,1363.5250044726909,Tactical,1288.0985888600292,57,0,43
170000,1363.5250044726909,MiniMax2,1414.2690050925478,43,0,57
170000,1363.5250044726909,MiniMax4,1605.833158598031,2,18,80
180000,1362.1668361151499,Tactical,1298.082530721613,53,0,47
180000,1362.1668361151499,PPO_150000,1288.6495535300194,93,0,7
180000,1362.1668361151499,MiniMax2,1422.4568715052237,45,0,55
180000,1362.1668361151499,MiniMax4,1656.79186098392,0,28,72
190000,1452.566905764573,MiniMax2,1413.9909768914004,40,0,60
190000,1452.566905764573,Tactical,1318.7668648356814,61,0,39
190000,1452.566905764573,MiniMax4,1668.0220891234414,5,27,68
190000,1452.566905764573,PPO_150000,1174.8008162408298,94,0,6
200000,1401.6941502289471,Tactical,1354.2250776455944,66,0,34
200000,1401.6941502289471,PPO_150000,1126.07099759944,97,0,3
200000,1401.6941502289471,MiniMax2,1468.1735539392878,45,0,55
200000,1401.6941502289471,MiniMax4,1677.9838734426567,17,5,78
210000,1516.5466815592017,PPO_200000,1516.5466815592017,51,0,49
210000,1516.5466815592017,MiniMax2,1457.6468174601487,48,0,52
210000,1516.5466815592017,MiniMax4,1660.3947532515958,43,3,54
210000,1516.5466815592017,Tactical,1337.3861413151494,59,0,41
220000,1481.553853708921,Tactical,1384.7568359414447,57,0,43
220000,1481.553853708921,PPO_150000,1056.1732592698304,94,0,6
220000,1481.553853708921,MiniMax2,1493.4831421765896,49,0,51
